27441 -164.94788282796094
56691 -164.9583957074086
82440 -166.6420336820436
64153 -166.7755649195076
77124 -167.81654280956175
27911 -167.8756742817698
77181 -169.59466159613171
77719 -169.60157530265283
27845 -169.86921582645599
17450 -169.94545380739547
27921 -169.9621772536053
41481 -169.96786430888676
58800 -170.04672284078418
44101 -170.1786319234378
74003 -170.1894107602132
64694 -170.25840851564428
33285 -170.4142942335843
12919 -170.46921618105316
13217 -170.46921618105316
29390 -170.68526705462247
33229 -170.69080150278472
61777 -170.84450547116865
67613 -170.9013302734047
34675 -170.94136253594257
63648 -171.35122029691487
59813 -171.42217546644207
36398 -171.5028648731048
66693 -171.52095691519762
73146 -171.52431358796952
80840 -171.5432167539218
29928 -171.82051453031028
81325 -171.8897569843022
16007 -172.05601809259147
29922 -172.23507089824614
74497 -172.48439459195956
49752 -172.6125263915428
23293 -172.63894796733945
45740 -172.70857531165993
58581 -172.73843166390577
76089 -173.18784761604758
76092 -173.18784761604758
75754 -173.26247612951505
27402 -173.2788610699743
84758 -173.4484148327194
48893 -173.72742599658605
15581 -173.73811436323095
15582 -173.73811436323095
70409 -174.05731881781182
30473 -174.3433529690411
33736 -174.8180937985227
24789 -174.90736998282955
81420 -174.98940808651207
6661 -175.47594873045716
46876 -176.02861695698593
55718 -176.32504669692574
10397 -176.47151011759587
10398 -176.47151011759587
67058 -176.53343916161796
86421 -176.5641075741989
83609 -176.61607323038513
86492 -176.61607323038513
63415 -180.1954888265423
