60118 -191.42562370668745
59502 -192.2922682997712
39433 -198.242619643747
62536 -198.28784190259339
58957 -198.31611674811046
77349 -199.57980041875263
36601 -199.8824286136473
16170 -200.96281549907428
26568 -201.35242495508362
63056 -203.4285052585223
80756 -203.9663618132115
41975 -204.66937254616064
31504 -204.89400702127537
62835 -204.9145238468929
77102 -204.9145238468929
62836 -205.04303277401317
77104 -205.1670786949096
13484 -205.57152711876066
31515 -205.74393319355488
49907 -205.8606232999173
73034 -207.28866574905229
40119 -209.31091967419948
41857 -209.31091967419948
28455 -210.01721963750796
28440 -210.02273889948538
7937 -213.65445897883896
6635 -213.6651622474363
31141 -213.6828190098656
27966 -213.8113601471526
22961 -214.09490550449235
14855 -215.2893310433789
