['71157', '10.444708058813728']
['51576', '10.051813968740348']
['79950', '9.540855134609943']
['77936', '8.728344587920477']
['59244', '8.596816512843327']
['67107', '6.220199710163935']
['67411', '6.220199710163935']
['86459', '4.3504759443109045']
['31404', '3.6355586942659075']
['41791', '3.5270201307067404']
['69377', '3.5173739578567527']
['37330', '3.493614297634599']
['18297', '3.438088723265621']
['18529', '3.429423299423256']
['78164', '3.4200308941590882']
['67673', '3.3885232840730364']
['9462', '3.380379911205631']
['66686', '3.3342734835998113']
['28185', '3.333002985314503']
['18552', '3.323189700828711']
['71159', '3.320351052772321']
['61532', '3.307794809355875']
['58209', '3.289137500042357']
['31761', '3.287901159973531']
['42439', '3.259719666543356']
['45168', '3.251918648401306']
['55602', '3.224310680208326']
['75282', '3.2118792084709877']
['31249', '3.1845385669073507']
['31947', '3.1845385669073507']
['36212', '3.1733169446535414']
['17930', '3.15614187963534']
['72535', '3.14422953575183']
['38356', '3.092538003813935']
['25590', '3.0828517816765335']
['20760', '2.845090330804017']
['17736', '2.8283576694368318']
['52237', '2.587406700546206']
['86286', '2.5759769934923082']
['45161', '2.481697404889728']
['59521', '2.4381180036054535']
['48098', '2.3630307687686485']
['3169', '2.3105971233396225']
['60334', '2.204051826801853']
['71894', '0.9083733811831125']
['42848', '0.9050836657464081']
['57876', '0.9024689997852596']
['10117', '0.0']
['15865', '0.0']
['23437', '0.0']
['45642', '0.0']
['47338', '0.0']
['48786', '0.0']
['62594', '0.0']
['63648', '0.0']
['63689', '0.0']
['7535', '0.0']
['7622', '0.0']
['76772', '0.0']
['79823', '0.0']
['8007', '0.0']
