['41538', '10.093622361566688']
['14196', '9.440531037091908']
['39661', '9.438017019690438']
['39926', '8.901783667554632']
['32400', '8.615580297528446']
['25529', '7.63727450138116']
['17390', '5.955090507676108']
['62392', '5.830459219300181']
['17360', '5.818746480424137']
['3936', '5.749332861730442']
['25220', '4.087819390978735']
['72985', '4.056182094769642']
['30390', '3.119283956335801']
['52385', '2.93435251599012']
['40902', '2.8512922606863556']
['16941', '2.84608970004851']
['40427', '2.8254679371015947']
['18090', '2.6615484776735756']
['41792', '2.348922855431988']
['34498', '2.151304489386143']
['56129', '1.7643860297227771']
['30943', '0.0']
['33589', '0.0']
['74269', '0.0']
['77243', '0.0']
['80308', '0.0']
