['82290', '12.410238079972107']
['5176', '12.073989856473638']
['5177', '12.073989856473638']
['2829', '11.971745621277371']
['10759', '11.156889477493014']
['10810', '10.04171139361094']
['80518', '9.650728400076485']
['50314', '9.197325596093277']
['19961', '8.755010138315027']
['22662', '8.33986476226287']
['22169', '8.329374544771918']
['26058', '8.293784084643075']
['8780', '8.001922326812672']
['83932', '7.930367828796152']
['54765', '7.774766971146667']
['82392', '7.529718759222635']
['81929', '7.316798959133483']
['33970', '5.9805612701007185']
['50264', '5.631396672709034']
['49600', '5.051183870995288']
['32662', '4.961019924766147']
['76353', '4.6768379098234565']
['49460', '4.160304081972854']
['44714', '3.6513522904550957']
['52301', '3.4840628146885897']
['77920', '3.1227670046272316']
['80449', '3.1227670046272316']
['49709', '2.9911543391307567']
['84420', '2.8973667130908742']
['61652', '2.8939067744276366']
['63369', '2.8684125279127017']
['78878', '2.8340703929229454']
['57755', '2.825142830443819']
['82981', '2.710013007889325']
['5650', '2.6997956823104663']
['56511', '2.683465743494331']
['14838', '2.66319782532421']
['54814', '2.6590013250268862']
['14942', '2.6050093977947557']
['79295', '2.594616387188973']
['8938', '2.562929725267213']
['43241', '2.5030132677807018']
['54925', '2.444799448729805']
['85265', '2.421402551595976']
['58507', '2.4072486423808437']
['52263', '2.0092961228618913']
['35073', '1.902755101986573']
['67204', '1.6649216683859778']
['76314', '1.547678683274449']
['84364', '1.37088259325684']
['58553', '1.3440551314900582']
['63616', '0.0']
['84272', '0.0']
