['84829', '3.664373570961435']
['58009', '3.5586711080381863']
['8622', '3.5548391798949153']
['9133', '3.5548391798949153']
['24044', '3.5368119680383026']
['31619', '3.4170711718893747']
['51453', '3.398190648405616']
['51260', '3.26957308182884']
['52489', '3.2632968404432248']
['60293', '3.2477111518611883']
['75205', '3.1214143691196057']
['85344', '2.9037705895650134']
['85663', '2.6168938445424685']
['52661', '2.6147288879314954']
['55609', '2.343614432136671']
['83678', '2.3203021996815076']
['68709', '2.116630483073191']
['61165', '1.997266238658976']
['37202', '1.8938053371059334']
['66895', '1.5536976754546503']
['66880', '1.5431202600351042']
['25903', '0.0']
['41074', '0.0']
['43605', '0.0']
['46152', '0.0']
['46157', '0.0']
['46161', '0.0']
['58199', '0.0']
['60154', '0.0']
['60224', '0.0']
['61161', '0.0']
['75183', '0.0']
['85759', '0.0']
