['22679', '7.137064381485296']
['20188', '5.3083878056413525']
['77250', '4.593468893899646']
['79559', '4.503247996614033']
['71555', '4.368793816512777']
['79369', '4.367068485374314']
['86514', '4.32374504149859']
['82616', '4.314323883748797']
['85143', '4.307213735893619']
['78863', '4.25641108190758']
['74017', '4.22731903929998']
['71542', '4.220576880446394']
['71543', '4.220576880446394']
['74010', '4.095863909137892']
['66894', '4.095688708060077']
['82279', '4.090995342808794']
['82609', '4.017843922221455']
['73431', '3.997286857089167']
['32034', '3.9745207751388']
['82598', '3.967827755879648']
['79585', '3.885476417225349']
['76422', '3.870898882387689']
['52940', '3.8116070667529067']
['79864', '3.4851670934630734']
['52741', '3.3933217430141034']
['81084', '3.0464345629544782']
['75243', '2.947256490891918']
['60110', '2.7359155477366346']
['83291', '2.6658459639028127']
['82679', '2.656275134183732']
['67922', '2.609433633755566']
['3541', '2.5535778789925048']
['68718', '2.1887298646525646']
['70303', '1.6441125283383597']
['68716', '1.634943859912128']
['13248', '0.0']
['24911', '0.0']
['26903', '0.0']
['43329', '0.0']
['49463', '0.0']
['49575', '0.0']
['51927', '0.0']
['53140', '0.0']
['72816', '0.0']
['78749', '0.0']
['83284', '0.0']
