['45159', '3.917014282890434']
['15228', '3.8572794685786143']
['78479', '3.752519641411604']
['60588', '3.7100709115498196']
['9384', '3.6819482018715357']
['38191', '3.6110529389334163']
['67522', '3.58776126521718']
['14933', '3.5661243042943527']
['80102', '3.5271332681073204']
['59083', '3.526928965738514']
['4984', '3.5252992969593357']
['83225', '3.4540331626990133']
['56499', '3.444506028633792']
['76216', '3.3753989665157746']
['75770', '3.3289394280792433']
['22250', '3.295369637849963']
['63280', '3.262625604439699']
['66301', '3.2466893381358264']
['46655', '3.228355798700676']
['69725', '3.180321796087588']
['71223', '3.174479273868419']
['45374', '3.13243111141475']
['6940', '3.070305803912042']
['86111', '3.026345458000303']
['40554', '2.9685746786904676']
['78928', '2.8711128725927155']
['78775', '2.5748557252424673']
['74632', '1.6594124770121543']
['19953', '1.58823266734651']
