['67104', '9.746768949969354']
['40234', '8.730130364904333']
['10706', '8.714966884778374']
['59095', '7.644009555577857']
['60141', '7.644009555577857']
['75738', '7.579671117508376']
['40292', '7.489058923980295']
['26026', '5.5143560410078285']
['26144', '5.5143560410078285']
['70010', '5.232961028773761']
['56741', '4.758325375135074']
['58487', '4.396603551652304']
['62215', '4.291531752246443']
['62401', '3.9965352246502']
['68825', '3.444943053013175']
['59087', '2.7189394862708234']
['13519', '1.7087577542899768']
['15334', '1.7087577542899768']
['24747', '0.0']
['24838', '0.0']
['24839', '0.0']
['48267', '0.0']
['48284', '0.0']
['49809', '0.0']
['50165', '0.0']
['50177', '0.0']
['50190', '0.0']
['5166', '0.0']
['59349', '0.0']
['77429', '0.0']
['78729', '0.0']
['86898', '0.0']
