['77907', '9.328491392004562']
['82519', '9.064391651721568']
['77381', '8.99799258717896']
['80922', '8.242756020018714']
['82085', '8.166045964605221']
['25833', '8.026112082386954']
['82106', '7.848787095074599']
['76899', '7.830907572418232']
['27974', '7.782432121518555']
['9011', '6.0913817750679815']
['7970', '5.95542373141032']
['73371', '4.515449271323126']
['27960', '4.247291904234134']
['39122', '4.204107983838722']
['28549', '4.154966842207353']
['71913', '3.7808584200600843']
['40800', '3.101630445822396']
['74777', '2.842771153560628']
['57024', '1.50242997791614']
['18877', '0.0']
['22472', '0.0']
['22987', '0.0']
['26276', '0.0']
['34010', '0.0']
['36858', '0.0']
['38588', '0.0']
['39620', '0.0']
['48375', '0.0']
['63141', '0.0']
['68664', '0.0']
['69142', '0.0']
['69164', '0.0']
['71111', '0.0']
['74778', '0.0']
['79949', '0.0']
['86448', '0.0']
