['35104', '11.07153982862737']
['79605', '10.202086502026145']
['41487', '9.242746057289825']
['43962', '8.774279901466054']
['19488', '7.572856281378641']
['8768', '7.289602498310527']
['46422', '7.259347296704828']
['48692', '6.594171652566837']
['42907', '6.01116126715492']
['15404', '5.891652633428836']
['76750', '5.103829611207485']
['76779', '5.098858547423005']
['83238', '5.002089779921261']
['3641', '4.8578069401867285']
['60305', '4.850226855817581']
['3610', '4.599476311626943']
['59914', '4.51716203946067']
['60227', '4.3807271054862005']
['58438', '4.267239520363276']
['34428', '4.052397273594376']
['55797', '3.9459957194458926']
['54695', '3.7279785018113265']
['11114', '3.610180250553531']
['19365', '3.471595569014546']
['55914', '3.2229711956446416']
['84892', '3.039157359573431']
['25548', '3.019992909997624']
['37153', '2.9952199332893557']
['82677', '2.951945189286727']
['72605', '2.8900191290955326']
['61191', '2.757277139313531']
['12740', '2.711621043309113']
['43806', '2.656634034211808']
['58126', '2.136692632355348']
['26322', '1.6686081616892507']
['73988', '1.143378071665165']
['22906', '0.0']
['25956', '0.0']
['52913', '0.0']
['5650', '0.0']
['64168', '0.0']
['70629', '0.0']
['70643', '0.0']
['72885', '0.0']
['78418', '0.0']
['9473', '0.0']
