['59659', '11.993370323677748']
['58438', '7.482702126711761']
['84627', '6.879234532552468']
['75562', '6.668575076979082']
['73397', '6.541636743887822']
['21172', '6.1318312003063475']
['69112', '5.954437026230812']
['60928', '5.774459240352626']
['46142', '5.731469070534622']
['74790', '5.568920634703723']
['53308', '5.455397861261133']
['3169', '5.314899882083365']
['5870', '5.15445849948078']
['43806', '4.993190646923297']
['26253', '4.9647362306636']
['14567', '4.813191830237067']
['74778', '4.143021723914992']
['73372', '4.108366118561142']
['56579', '3.0929063705017716']
['13142', '2.7193987086129106']
['74917', '2.6711054641528857']
['66785', '2.6514616207965']
['14098', '2.5900131498254453']
['26301', '2.4039901059153306']
['73337', '2.3164685433391488']
['12890', '2.299940307460362']
['10616', '2.232067748151425']
['12892', '1.669112608130933']
['54608', '1.4208255409392774']
['15065', '1.3661946720055633']
['49545', '0.0']
