['9843', '19.269301297666583']
['7486', '19.10412957779601']
['85553', '11.741633535347178']
['48981', '11.521590245657666']
['67115', '7.756074622223053']
['79565', '7.416030688891581']
['68370', '6.6776338973702485']
['66981', '6.554164036385414']
['39184', '6.199168112770533']
['53133', '6.113696398849122']
['64294', '6.0271666493785165']
['68780', '5.924038311699368']
['65174', '5.888984660287021']
['68784', '5.658072731735154']
['4017', '5.592696376839649']
['53131', '5.574129295486733']
['68777', '5.538313052126612']
['78577', '5.530593581196111']
['68722', '5.06779930366907']
['54214', '4.962105965295568']
['70633', '4.78019579044315']
['54492', '4.77023735691401']
['69307', '4.7170474289937045']
['65757', '4.398459080030119']
['71710', '4.372210357472645']
['65789', '4.296458698710326']
['37594', '4.23326446673484']
['82847', '4.1007501429396855']
['86326', '4.074100188140057']
['82634', '4.071270241698081']
['30846', '3.973560818873782']
['69325', '3.634718379528245']
['68140', '3.23305521004921']
['70650', '3.1866598839905493']
['71676', '2.9385895232781083']
['66987', '2.8438544049624084']
['69279', '2.7003124821489637']
['64122', '2.6514501642643857']
['65683', '2.622972456996758']
['65677', '2.6020124134658325']
['68719', '2.5700655535711086']
['28202', '0.0']
['35258', '0.0']
['55419', '0.0']
['58292', '0.0']
['58293', '0.0']
['58301', '0.0']
['61290', '0.0']
['61293', '0.0']
['61298', '0.0']
['61302', '0.0']
['61315', '0.0']
['61329', '0.0']
['61382', '0.0']
['62744', '0.0']
['62747', '0.0']
['62784', '0.0']
['64176', '0.0']
['64322', '0.0']
['64800', '0.0']
['65850', '0.0']
['65932', '0.0']
['65951', '0.0']
['65957', '0.0']
['67067', '0.0']
['67140', '0.0']
['68141', '0.0']
['68145', '0.0']
['68296', '0.0']
['68720', '0.0']
['68741', '0.0']
['68765', '0.0']
['68768', '0.0']
['69276', '0.0']
['69282', '0.0']
['69324', '0.0']
['70329', '0.0']
['71307', '0.0']
['71577', '0.0']
['71706', '0.0']
['72704', '0.0']
['72873', '0.0']
['72888', '0.0']
['74091', '0.0']
['74189', '0.0']
['75414', '0.0']
['75872', '0.0']
['77086', '0.0']
['78520', '0.0']
['80078', '0.0']
['81715', '0.0']
['81732', '0.0']
['82870', '0.0']
['83222', '0.0']
['83252', '0.0']
['83258', '0.0']
['83260', '0.0']
['83765', '0.0']
['85099', '0.0']
['86229', '0.0']
['86626', '0.0']
['9343', '0.0']
['9420', '0.0']
