['17004', '16.972474962662066']
['13294', '16.653691013560305']
['15074', '16.653691013560305']
['7320', '15.238090624866963']
['13309', '15.22747358056018']
['79604', '14.37860942352814']
['49980', '14.289706022183534']
['14772', '14.11708302135633']
['75621', '13.351985091626124']
['79669', '13.351985091626124']
['6604', '13.331046689537773']
['43938', '13.147146117188218']
['3885', '13.108417717652914']
['44187', '12.974370896150171']
['7289', '12.564480020198898']
['15415', '11.85397751699582']
['14556', '11.85247714887589']
['15410', '11.777237223232081']
['34792', '11.739451239810698']
['14439', '11.715651347590384']
['9820', '11.622275405409273']
['9819', '11.588279075803062']
['45221', '11.064549566372257']
['58913', '10.97322650649726']
['29645', '10.922749548048143']
['16992', '10.903224024454838']
['11445', '10.897251569700245']
['9384', '10.540589126907502']
['50029', '10.357771933540228']
['46229', '10.025509400476212']
['75560', '9.498112126067152']
['37711', '9.419194106261518']
['29520', '9.042242288290343']
['3868', '9.005227700119367']
['17857', '7.346834703612306']
['10675', '6.972182769939611']
['47899', '6.923849224860543']
['62800', '6.8138750066688125']
['7730', '6.787130660952345']
['13221', '6.777220425590318']
['17782', '6.772465173546578']
['46302', '6.754221525997966']
['75389', '6.749454594890728']
['14486', '6.701318617809153']
['15288', '6.583209983489388']
['45050', '6.396259842429174']
['38684', '6.130400148850215']
['17787', '5.782519152229363']
['14655', '5.764135606277582']
['71564', '5.5842508580781605']
['16632', '5.345530906309072']
['33391', '5.319585464990075']
['34744', '5.284505480145113']
['42245', '5.2040469934834075']
['71726', '4.620761467313185']
['39215', '4.59433125801119']
['28141', '2.404855037487539']
['25392', '2.4045389662023924']
['29535', '2.4010676576150565']
['75327', '2.3848066666520453']
['20412', '2.374192627823111']
['59764', '2.350401396936394']
['81408', '2.342225134190993']
['77066', '2.3310111393662125']
['23121', '2.320220299751198']
['20858', '2.315061500642186']
['80049', '2.3021765651680868']
['54296', '2.2867859912342796']
['77009', '2.270547525204917']
['9993', '2.2670878320484715']
['82630', '2.2663285299008007']
['5108', '2.2514777492031595']
['73898', '2.2487786381159625']
['18345', '2.247812178526865']
['65688', '2.2438141963123996']
['5140', '2.2223098605355136']
['13518', '2.19868560954987']
['57102', '1.9939998739951221']
['31141', '0.0']
['68028', '0.0']
['73326', '0.0']
