['21511', '6.208465161371637']
['74036', '6.1127125665611945']
['9981', '5.711405271849436']
['19285', '5.617566784946803']
['65604', '5.461599165016986']
['4528', '5.359992156842461']
['7225', '5.312259425142825']
['53830', '5.267162437032235']
['61262', '4.8535428398402845']
['46194', '4.845721169153107']
['25328', '4.787456341291677']
['14377', '4.662752747121688']
['13147', '4.260290569945413']
['30653', '3.78969621935406']
['69236', '3.648667997381879']
['78418', '2.774646415838734']
['2345', '2.6889853496077265']
['2346', '2.6865878969258983']
['20350', '2.6326569009439007']
['65633', '2.624574859982407']
['4546', '2.524949386634309']
['2415', '2.412743073655861']
['2725', '2.378463094120521']
['68718', '2.3598605369174317']
['68716', '2.3150855566907578']
['74846', '2.2760820218426456']
['79951', '2.121341365490657']
['75278', '1.9127211827947332']
['78447', '1.7795861171248029']
['79988', '1.7662861425766578']
['12109', '1.0896663593230973']
['11302', '0.0']
['57243', '0.0']
