['38920', '14.320464161925795']
['42439', '12.519382535300325']
['38356', '12.261327889074476']
['72320', '12.223722953595525']
['85147', '12.119115456611933']
['41791', '12.045437920961284']
['78595', '11.440574895417727']
['71167', '11.183063869377545']
['16827', '10.8465486789379']
['25590', '9.746161507777995']
['28185', '8.470319277741396']
['18552', '8.266658944915392']
['23408', '8.266658944915392']
['6163', '7.694051207473871']
['82926', '6.398694729463293']
['27404', '5.941625256281924']
['30597', '5.637010985498574']
['13264', '5.314773804575415']
['15458', '5.295802601512815']
['86950', '5.247488448497952']
['79578', '5.129278086316791']
['69330', '5.094927351677084']
['60334', '4.9989104914323725']
['54109', '4.990708402123763']
['14956', '4.974770836184202']
['3601', '4.852926385956657']
['75434', '4.781804267274582']
['3595', '4.77734357350962']
['60008', '4.5024866321118635']
['85987', '4.495995642806243']
['72796', '4.482435333871009']
['29675', '4.378986794199957']
['26495', '4.360767411973391']
['8052', '4.3135378211850846']
['83267', '4.310543942791985']
['83264', '4.29447481641642']
['82164', '4.287759152053205']
['59210', '4.275313280806878']
['76441', '4.26919707983834']
['69331', '4.227311238415934']
['82163', '4.18857579295315']
['21659', '4.169323915557953']
['25645', '4.169323915557953']
['64271', '4.157232015500282']
['53296', '4.145265456524314']
['6304', '4.1385351145120515']
['19408', '4.07809752689193']
['19413', '4.07191641182976']
['79565', '4.062159774987834']
['78572', '4.025020171835472']
['78574', '4.020010300511486']
['83813', '3.955057305924174']
['4839', '3.8727919904667516']
['12741', '3.8112190700922692']
['83809', '3.781339121027967']
['22546', '3.772016971567437']
['83804', '3.7543361318985466']
['82907', '3.709884648617499']
['53185', '3.385518497115106']
['58418', '3.352306982919088']
['80280', '3.275029967399038']
['78580', '3.1627033433371157']
['9456', '3.1571859033589496']
['80283', '3.034599420895036']
['75433', '2.9940478681116014']
['4046', '2.9783289306224905']
['75431', '2.9528201098634765']
['75429', '2.923084808112081']
['82908', '2.668954016042432']
['78584', '2.5456841285331286']
['81474', '2.3890683661811343']
['22541', '2.319765269064858']
['32982', '2.177749323783134']
['13285', '1.9777468642675882']
['53133', '1.7566570680294988']
['75435', '1.211144441608565']
['26529', '0.0']
['39858', '0.0']
['42441', '0.0']
['46387', '0.0']
['54671', '0.0']
['56638', '0.0']
['61409', '0.0']
['68775', '0.0']
['68777', '0.0']
['7486', '0.0']
['76397', '0.0']
['78577', '0.0']
['78582', '0.0']
['79552', '0.0']
['82190', '0.0']
