['18100', '5.974831308793916']
['18163', '5.974831308793916']
['18164', '5.974831308793916']
['28923', '5.404034587685034']
['18706', '5.367360805667661']
['75763', '5.3582700040208']
['19440', '5.167937788558266']
['13057', '4.894075412980195']
['22382', '4.704838639049123']
['52020', '4.6672636450242875']
['18859', '4.309990623053201']
['47049', '3.8005148641993562']
['66338', '3.6513747214088075']
['45422', '3.440890327063117']
['46485', '3.4148909758466637']
['46968', '3.4148909758466637']
['18798', '3.3965592715833735']
['10710', '0.0']
['11807', '0.0']
['12851', '0.0']
['18648', '0.0']
['19990', '0.0']
['22660', '0.0']
['23643', '0.0']
['27440', '0.0']
['30059', '0.0']
['32520', '0.0']
['37856', '0.0']
['39303', '0.0']
['39410', '0.0']
['4157', '0.0']
['46228', '0.0']
['49617', '0.0']
['49650', '0.0']
['50034', '0.0']
['54232', '0.0']
['54771', '0.0']
['56209', '0.0']
['57753', '0.0']
['61895', '0.0']
['64858', '0.0']
['65283', '0.0']
['65899', '0.0']
['6630', '0.0']
['67401', '0.0']
['68969', '0.0']
['73312', '0.0']
['77444', '0.0']
['7776', '0.0']
['78879', '0.0']
['8928', '0.0']
['9871', '0.0']
