['46494', '11.053207173920429']
['72826', '10.469968412490125']
['72899', '10.346491672572435']
['76669', '8.755402029975876']
['75465', '7.47328694837803']
['44081', '7.393508584755621']
['41297', '7.3933481002015835']
['35148', '7.339210328767102']
['75593', '7.2454912106686375']
['21791', '7.231672174831803']
['16900', '7.130067587119335']
['83428', '6.829967957123486']
['82198', '6.6425568528286325']
['20126', '6.590304239545076']
['83268', '6.469848726321665']
['55197', '6.212804404533262']
['67400', '6.053388092369966']
['64275', '5.93004945641059']
['78782', '5.833777148553898']
['83266', '5.832780282999275']
['75590', '5.823995161612903']
['46509', '5.806891029806238']
['83427', '5.76397256084463']
['83880', '5.744651732641259']
['86881', '5.744651732641259']
['83946', '5.7160076015457575']
['83958', '5.625768905858607']
['83312', '5.573571870640521']
['81788', '5.5208410137789174']
['73475', '5.482892455058779']
['83336', '5.038843263652039']
['9660', '4.4354964321168495']
['8369', '4.430028828770718']
['72895', '4.3527822121005215']
['82927', '4.319699779471024']
['83913', '4.145747009612647']
['83332', '4.10350119385053']
['86751', '3.413749709885251']
['72821', '3.212707355908755']
['43886', '2.9507821573824766']
['3142', '2.8238971605414176']
['16727', '2.787237796873532']
['24499', '2.738358046849108']
['9413', '2.7240260148902573']
['73037', '2.6996226648327495']
['75714', '2.6582855459582793']
['55879', '2.6137468862281814']
['58611', '2.4475779367823556']
['16655', '2.4407296390017774']
['22875', '2.423510689404144']
['49804', '2.3893073537964264']
['58426', '2.3412361436748856']
['22696', '2.2864039308217396']
['31459', '2.265107449783269']
['75487', '2.1344558448789868']
['83185', '2.0926296380437486']
['63773', '1.9500793982046907']
['83339', '1.8704450285524539']
['11669', '1.7227111775270967']
['24827', '1.4623713896996196']
['24350', '1.4592653714508532']
['11342', '0.0']
['11360', '0.0']
['15746', '0.0']
['47225', '0.0']
['51258', '0.0']
['58143', '0.0']
['64685', '0.0']
['67535', '0.0']
['71186', '0.0']
['83364', '0.0']
['85393', '0.0']
