['65284', '10.636831575909422']
['60155', '9.454242182903998']
['62292', '9.329635427137536']
['60221', '9.1625450585056']
['55848', '7.820554769258672']
['58503', '7.747494142978086']
['75561', '7.075305399651013']
['52215', '6.9110981621098855']
['62212', '6.817552310440664']
['39864', '5.93759202416038']
['59351', '5.850973810827394']
['75471', '5.823600612219306']
['39972', '5.699487714195461']
['78720', '5.6929739293081845']
['83965', '5.684308755635762']
['75641', '5.6670493918452784']
['39883', '5.622652140785725']
['17505', '5.57431629356374']
['85236', '5.569955604809508']
['51691', '5.489016424192851']
['39304', '5.478360866925748']
['62213', '5.334015866854944']
['9954', '5.2837061038184014']
['81592', '5.249065649710257']
['27814', '5.20215018179972']
['57150', '5.136421305296656']
['35053', '4.8159909278487785']
['70026', '4.720904914257002']
['58514', '4.451346335740457']
['50327', '4.255395502852375']
['19480', '3.8872497911183075']
['85214', '3.8672527195526296']
['71517', '3.7866605246086764']
['86878', '3.694275629198126']
['41320', '3.507199854493085']
['83429', '3.4804864352020486']
['82226', '3.2312900800781232']
['80497', '3.2291318968872753']
['19505', '3.2290971632452323']
['80643', '3.121112372682772']
['83314', '2.9514854293409742']
['25765', '2.9329109885884423']
['83315', '2.8918258653050692']
['33060', '2.7654459545495356']
['83332', '2.414611268842813']
['63259', '2.172943431672117']
['76612', '1.8482503609971566']
['6119', '1.6419489304761958']
['43628', '1.5743948048576528']
['25144', '0.0']
['28710', '0.0']
['47192', '0.0']
['49518', '0.0']
['61475', '0.0']
['61663', '0.0']
['82966', '0.0']
