['17030', '11.944232845003224']
['17217', '11.944232845003224']
['13685', '11.68335995621019']
['25500', '11.0006427307587']
['2323', '8.382957314670634']
['4053', '8.382957314670634']
['13690', '8.329289562483037']
['7722', '8.268850048758473']
['79404', '8.206886816064896']
['40234', '7.883190584561048']
['2451', '7.881208156996329']
['37816', '7.5420408799502905']
['76103', '7.117664912375785']
['75767', '6.998608488216573']
['37815', '6.778446279802615']
['24251', '6.711205691900835']
['43262', '6.617013829301483']
['86209', '5.899554034490121']
['86541', '5.785278479039266']
['36588', '5.6297010479977825']
['5316', '5.086244822686153']
['43200', '4.680763932977067']
['43868', '4.643292625108784']
['47661', '2.424409507900542']
['43612', '2.386736870919689']
['18151', '2.360904542335976']
['38335', '2.347476037350102']
['35765', '2.343702905094509']
['67741', '2.3349146085443255']
['47712', '2.3345645156596233']
['30405', '2.3275167480295664']
['84403', '2.307526942161797']
['85209', '2.302199387317191']
['85642', '2.302199387317191']
['65408', '2.2983882215987808']
['56691', '2.2896828925814416']
['43994', '2.272424088939022']
['67983', '2.271116830587528']
['38143', '2.222301885748118']
['86289', '2.1398290105589477']
['86276', '2.136992399579085']
['33766', '2.0958388817496854']
['33767', '2.0958388817496854']
['35652', '2.0958388817496854']
['13607', '2.034506664167194']
['86255', '1.9162088950462002']
['24446', '1.9113809006296982']
['24826', '1.9113809006296982']
['78846', '1.9026392562903816']
['38629', '1.8846589353219632']
['86259', '1.87606848759841']
['12556', '1.8585845506923688']
['12557', '1.8585845506923688']
['80504', '1.8544865659669334']
['82337', '1.8544865659669334']
['81997', '1.8209696452892759']
['35766', '1.8168650239612179']
['18364', '1.6394797049372625']
['31267', '1.4544573468176039']
['31268', '1.4544573468176039']
['32579', '1.4544573468176039']
['86042', '1.4286773490403786']
['86961', '1.4286773490403786']
['25467', '1.213573588912177']
['12293', '0.0']
['23253', '0.0']
['36580', '0.0']
['69316', '0.0']
