['72134', '10.201303054461675']
['64896', '9.493897280021034']
['74605', '9.027344064275958']
['3666', '8.856917186077233']
['75564', '8.651247227145069']
['23698', '8.171270935473638']
['63379', '7.80203112623002']
['11852', '7.59621519558314']
['11744', '7.278421660944516']
['21265', '7.090308179472798']
['72032', '6.449565462347444']
['76550', '6.449565462347444']
['44232', '5.829904119524063']
['30864', '5.609157776381229']
['37657', '5.300584384919894']
['28717', '5.18839450919332']
['7041', '5.062617292834975']
['78628', '4.838791436799841']
['77430', '4.812813508082549']
['77431', '4.810765475474854']
['60421', '4.4304903478316415']
['2977', '4.337501935997643']
['2510', '4.298964020126612']
['2511', '4.298964020126612']
['20778', '3.9752734467562068']
['5185', '3.90706908901903']
['5189', '3.90706908901903']
['21673', '3.8687613742668345']
['62309', '3.8088508143799196']
['5175', '3.6902377223054748']
['77687', '3.202354084908835']
['13600', '3.1627563463802595']
['8511', '3.1627563463802595']
['8828', '3.1627563463802595']
['43129', '3.151836702232196']
['13519', '2.9595785078206074']
['15334', '2.9595785078206074']
['11690', '2.741677117330593']
['8872', '2.329251573878609']
['41351', '2.118200835130916']
['21077', '1.614894487412923']
['85188', '1.4357390867706887']
['29116', '1.3267805611072911']
['15583', '1.2576589449128157']
['16678', '1.2576589449128157']
['12097', '1.2506422504805181']
['15211', '1.2506422504805181']
['33769', '0.0']
['7798', '0.0']
['7799', '0.0']
['81564', '0.0']
['8310', '0.0']
