['26568', '8.013561373103107']
['59502', '7.787902869472901']
['58957', '7.7080568577545066']
['60118', '7.6656494073922845']
['16170', '7.485883622068379']
['62536', '7.373454866081152']
['77349', '6.649683766070395']
['31504', '6.605845932301804']
['31515', '6.452244738788485']
['80756', '6.351253144023431']
['41975', '6.198639830254707']
['73034', '6.098024271173678']
['40119', '4.122040400663729']
['41857', '4.122040400663729']
['63056', '3.199542643144287']
['39433', '3.141999274373006']
['13484', '3.0050561465025987']
['49907', '2.8067702947665825']
['62835', '2.6237535778463292']
['62836', '2.6221198765387044']
['77102', '2.6221198765387044']
['77104', '2.6075076059379616']
['36601', '2.3165518045432987']
['28455', '1.7423004919708907']
['28440', '1.740859989627572']
['14855', '0.0']
['22961', '0.0']
['27966', '0.0']
['31141', '0.0']
['6635', '0.0']
['7937', '0.0']
