['43899', '8.784427424682537']
['27525', '8.769412487728836']
['13135', '7.784039914923536']
['69511', '7.728731100956873']
['7359', '7.664156173926802']
['47896', '7.377549586097692']
['36318', '6.977341147063777']
['35258', '6.941479428080076']
['26257', '6.918173011236259']
['12579', '6.91519166629863']
['12658', '6.901998067984103']
['19626', '6.866234742054825']
['3364', '6.682442894549778']
['74200', '6.654175367989607']
['27535', '6.6282867031045996']
['71904', '6.312741839434883']
['71648', '5.909293761040568']
['24598', '5.897252270881651']
['30016', '5.825368751650525']
['49230', '5.740294792265563']
['12855', '5.547342294714024']
['19705', '5.450611819311366']
['26578', '4.915697902753916']
['44236', '4.429839839338639']
['19669', '4.417291931152941']
['27814', '4.131361186175933']
['81949', '3.9919876717571814']
['67280', '3.8372775513810238']
['14752', '3.8219625356013394']
['13382', '3.4403166098087046']
['26110', '3.2268700630955744']
['24481', '3.139732525804346']
['24483', '3.068740538353632']
['24492', '3.000887943436533']
['35292', '2.7390429058195362']
['12856', '2.511475098642398']
['13385', '2.492648135101625']
['17505', '2.474928614150559']
['11633', '0.0']
['19700', '0.0']
['32470', '0.0']
['33964', '0.0']
['33969', '0.0']
['36435', '0.0']
['39972', '0.0']
['5410', '0.0']
['5418', '0.0']
['6596', '0.0']
['73106', '0.0']
['81347', '0.0']
