['12035', '7.8373012179622465']
['23687', '6.894962271597026']
['72072', '6.4690374659730905']
['49904', '6.424234192467286']
['58000', '5.812556439003117']
['38821', '5.334954790198213']
['24287', '4.719107107259495']
['70836', '4.4478459372854715']
['12196', '4.310024067902725']
['54065', '4.06158868304048']
['12396', '3.8304319693673055']
['11944', '0.0']
['12476', '0.0']
['14541', '0.0']
['15478', '0.0']
['17369', '0.0']
['19416', '0.0']
['19557', '0.0']
['19877', '0.0']
['29668', '0.0']
['29887', '0.0']
['29889', '0.0']
['29909', '0.0']
['32351', '0.0']
['32380', '0.0']
['3628', '0.0']
['41149', '0.0']
['8162', '0.0']
['83863', '0.0']
['8506', '0.0']
['9490', '0.0']
['9717', '0.0']
