['46547', '11.045203227820071']
['46974', '11.045203227820071']
['62325', '8.346291202618545']
['61329', '5.07144784979317']
['6146', '4.752651663694077']
['22170', '4.155739451650268']
['61780', '4.07180029358034']
['22513', '3.4559084792272805']
['82330', '2.5880777674814337']
['39496', '2.1332104562776455']
['18586', '0.0']
['26642', '0.0']
['26847', '0.0']
['27577', '0.0']
['30647', '0.0']
['63261', '0.0']
['77909', '0.0']
['80425', '0.0']
['80950', '0.0']
['81463', '0.0']
['82454', '0.0']
['82912', '0.0']
['83167', '0.0']
