['37440', '10.183675311308171']
['78018', '8.729401817224245']
['26681', '8.595078308410379']
['29079', '8.250035689011348']
['20315', '8.079142012985987']
['55119', '8.06052082625072']
['13485', '8.04241716240854']
['30089', '7.253955690004254']
['47025', '7.052119123792643']
['10515', '5.923046584783403']
['70379', '5.734834904470408']
['2454', '5.1837280104717305']
['47699', '5.062191653260298']
['54794', '4.886326323555736']
['48085', '4.831185778163119']
['75032', '4.704924770636216']
['5075', '4.576064028198751']
['46991', '4.573077781412926']
['66425', '4.515631293096258']
['78194', '4.446515276674366']
['47027', '4.437848529007248']
['42824', '4.340057175918222']
['46933', '4.247133348753034']
['48360', '4.242303557766685']
['29677', '4.1906131639503705']
['47085', '4.038522851934737']
['85953', '3.985353394773891']
['42609', '3.854564106746497']
['42697', '3.854564106746497']
['12873', '3.625399745196465']
['12881', '3.625399745196465']
['12874', '3.6212199677807426']
['12875', '3.6212199677807426']
['15623', '3.0646922910895453']
['15628', '3.0330362258181323']
['67235', '2.876971606852999']
['36083', '2.7403751489771437']
['50367', '2.7403751489771437']
['65061', '2.7403751489771437']
['7964', '2.7403751489771437']
['22431', '2.5893251682558938']
['79476', '2.5832040213214653']
['23326', '2.5119453620798198']
['68284', '2.4148011101971787']
['68520', '2.4094764541732525']
['9382', '2.3463342967905687']
['73790', '2.3344673396532465']
['76835', '2.148423790227883']
['23436', '1.9442545841280305']
['38305', '1.4790646118400026']
['85067', '0.0']
