['16953', '9.42027938463647']
['26073', '9.163534030189876']
['61540', '9.026111779941388']
['64476', '8.297689654625973']
['67717', '8.084315898155095']
['4933', '7.582225861771295']
['16575', '7.0539774472002446']
['78626', '6.5368950446811995']
['34684', '6.403542781362188']
['23398', '6.342679595184898']
['24340', '5.917216560011644']
['73598', '5.874957482862233']
['15776', '5.840905234006402']
['29314', '5.722789880776374']
['25832', '5.533957774240055']
['65289', '5.375896695893664']
['51139', '5.329451776164779']
['68812', '4.5022038926658094']
['58676', '4.482095610758553']
['67144', '4.458416356274528']
['58651', '4.397649892549871']
['56519', '4.377361098851142']
['55187', '4.348788811417673']
['62293', '4.2754049634973335']
['56735', '4.248545059500215']
['82229', '3.718699445573554']
['58582', '3.4771908029826752']
['59340', '3.45493012552655']
['11402', '3.2410350276299043']
['29729', '3.2267116405597607']
['58504', '3.194486155754542']
['58428', '3.0892248798706223']
['61554', '2.8258395663850306']
['17498', '2.4220192522679107']
['51841', '2.3458760465598254']
['46566', '2.206032184633267']
['31530', '2.1819870004710635']
['51780', '2.1467280300226577']
['49766', '2.1008306221801654']
['75624', '1.4353222847077483']
