['3740', '12.339928453975979']
['66961', '10.521446122513403']
['64070', '10.426208736603996']
['70233', '10.295949018663997']
['61170', '10.268266647310222']
['64033', '10.231239216986022']
['24214', '10.115104953886245']
['66923', '9.947946426109223']
['75201', '9.766297448846524']
['27215', '9.60604289568403']
['60528', '7.794132643950338']
['26085', '6.75876805180348']
['26088', '6.7545144947065054']
['4933', '6.730084454546863']
['58476', '6.370644688827472']
['32366', '6.194446623754622']
['25172', '6.1487352166177205']
['49879', '5.825244040088204']
['84584', '5.80703831651279']
['39335', '5.80616271815871']
['20973', '5.802507964863582']
['56170', '5.7676103683658475']
['16575', '5.601285204847182']
['22751', '5.359944174621936']
['67861', '5.3246466585235']
['16343', '5.314427271978099']
['15875', '5.1368308109666305']
['37136', '4.963202505456046']
['13342', '4.803194505895157']
['24515', '4.742736824071996']
['16954', '4.696842683611508']
['3972', '4.420497391410211']
['26598', '3.1036893928938074']
['9846', '3.0834317981769797']
['75591', '3.082008391367317']
['25134', '3.023637529811904']
['58888', '2.998421842362689']
['65394', '2.979284857192581']
['28598', '2.8592754534487392']
['67634', '2.806744198961343']
['76675', '2.7950733537319454']
['68037', '2.7557932551356545']
['39173', '2.537982227257787']
['71345', '2.425638832453213']
['59464', '2.371817129574213']
['77428', '2.102626086185801']
['78727', '2.102626086185801']
['73326', '0.0']
['80709', '0.0']
['80893', '0.0']
['9591', '0.0']
