['39184', '13.462799723286562']
['48981', '11.858883829040854']
['62781', '11.365756871586632']
['43393', '8.207431696667946']
['4527', '7.216328566310869']
['75135', '6.743406955280361']
['78091', '6.330124563003695']
['12555', '6.1907012230523355']
['21067', '5.755471467183785']
['78092', '5.711274096555497']
['64800', '5.675312318329896']
['24062', '5.642031419257991']
['25918', '5.323782145058534']
['69629', '4.868592297881365']
['71406', '4.868592297881365']
['69633', '4.6836296398582355']
['45819', '4.5816057876023795']
['16241', '4.530566635287263']
['20830', '4.422086725550669']
['75338', '4.355186896272624']
['21903', '4.249551477795635']
['15690', '3.4406571352628688']
['49288', '2.064281397301462']
['9980', '2.0500150453374415']
['23601', '2.044250150106613']
['55400', '2.0424965946883433']
['57033', '2.0306409799702867']
['47759', '2.0270266088949604']
['39712', '2.0179283149822798']
['24271', '2.002573759655531']
['39652', '1.9978563204101625']
['36959', '1.9731999291543652']
['81047', '1.9730436891256606']
['15861', '1.9701960928383404']
['49328', '1.9650810216433172']
['11627', '1.9621583331693155']
['33737', '1.9341462295370788']
['23947', '1.9165272896233025']
['45828', '1.891837672478647']
['34178', '1.889908227355561']
['71948', '1.8864273647316958']
['3156', '1.8558874175547815']
['3149', '1.8493193162420125']
['26947', '1.8330875701306513']
['86836', '1.8212779956247536']
['49144', '1.7380958599350975']
['22769', '1.6649771106337725']
['32907', '1.6648387660462667']
['10994', '1.6440912497557265']
['22083', '1.6238544868294456']
['67460', '1.6198667690209956']
['47783', '1.501847449099444']
['2786', '1.4782871566442364']
['71759', '1.1438508297142673']
