['11930', '8.887618148870024']
['11923', '8.777105405639453']
['11481', '8.377592730828615']
['3837', '8.120983349960436']
['12812', '8.107233410458388']
['7502', '8.090694791269897']
['6636', '8.062950675240941']
['49815', '7.960475885601295']
['11485', '7.868162035416589']
['25205', '7.859130846192952']
['3827', '7.815507825301637']
['15077', '7.676200073440654']
['12479', '7.641466876419162']
['4306', '7.609583237283335']
['65394', '7.583458651996196']
['76690', '7.512733974571155']
['8333', '7.477892611834303']
['75949', '7.450094997785445']
['11960', '7.443317284614211']
['29894', '7.408785692681162']
['3833', '7.400049839442852']
['15082', '7.393209415570999']
['20766', '7.3795703431769795']
['29904', '7.353123071018309']
['30486', '7.33768901063454']
['73762', '7.295446454658581']
['13342', '7.243023451844593']
['11979', '7.175121954790592']
['33172', '7.138152315460568']
['27870', '7.132343051967737']
['27384', '7.123781175070911']
['29908', '7.064169884971884']
['28662', '7.036199584395062']
['9703', '7.011211926517637']
['25699', '7.001855855238541']
['4881', '6.992987389216882']
['21895', '6.975432538517294']
['29906', '6.939010637459093']
['8327', '6.916446369822271']
['35396', '6.884367845032235']
['22690', '6.877931177839468']
['65306', '6.86324740635915']
['68419', '6.86324740635915']
['38442', '6.858700601896148']
['4310', '6.814683597406746']
['13335', '6.811138660158107']
['19601', '6.791300597509823']
['16954', '6.770084417007753']
['19615', '6.757407372043236']
['39349', '6.7343922738979']
['20127', '6.7268025407502705']
['4439', '6.718483663156807']
['20688', '6.7168730707137785']
['19599', '6.682164935242946']
['13320', '6.6754603727041015']
['15200', '6.672033879382925']
['76766', '6.653200684723609']
['73598', '6.651527121917408']
['73614', '6.62451767067868']
['25096', '6.608382164822074']
['58755', '6.547819524881797']
['17619', '6.537870093488733']
['25100', '6.533684086418678']
['24490', '6.52064852556403']
['20133', '6.508343235741995']
['73706', '6.4146670825139855']
['6503', '6.410845639307174']
['17517', '6.410014263255967']
['44163', '6.305311624956589']
['16897', '6.289245690898541']
['8455', '6.1923745136248565']
['4395', '5.998828718053973']
['6534', '5.8564442753873545']
['13345', '5.823269740855962']
['24485', '5.787162249948785']
['14707', '5.73311940205987']
['4762', '5.701367091466179']
['13313', '5.6739551414413425']
['16899', '5.644949685917933']
['7118', '5.635505414034997']
['53560', '5.634162972611893']
['9591', '5.598915328469332']
['26611', '5.556176236840447']
['20160', '5.480903147749514']
['3976', '5.47640192486464']
['67280', '5.4333567094539745']
['77310', '5.427188955804226']
['7115', '5.3928187654000155']
['19224', '5.370745320659468']
['6498', '5.348232676991417']
['61689', '5.3126602053509355']
['12825', '5.226535780602831']
['13332', '5.226535780602831']
['6793', '5.20719871473303']
['73641', '5.166112242372489']
['73746', '5.142009639667901']
['73320', '5.1080943462280946']
['53515', '5.088773403821657']
['53469', '5.0663979264164976']
['26603', '5.063584128476226']
['54745', '5.044524074482326']
['29913', '5.030212009030033']
['4358', '4.97397649166225']
['19634', '4.967973040718012']
['53682', '4.93692092253997']
['49884', '4.929957736616233']
['36447', '4.911190908260855']
['22751', '4.8157314937359645']
['20199', '4.796919042957992']
['71001', '4.790462142984765']
['24550', '4.776950062865772']
['24498', '4.751159694699526']
['29911', '4.721603686438423']
['81731', '4.711037639346959']
['29935', '4.6933451711900425']
['3835', '4.6933451711900425']
['3834', '4.651547341229243']
['79021', '4.641707693695919']
['54762', '4.601098961032329']
['71368', '4.555606420172454']
['33668', '4.53417638948629']
['27386', '4.53015522586294']
['56829', '4.505002453031227']
['30456', '4.490405325312802']
['19781', '4.455562402607079']
['20156', '4.455562402607079']
['23377', '4.418237681150378']
['5862', '4.3896791658909695']
['6497', '4.336728770044138']
['53502', '4.3331875917703755']
['9790', '4.30874669867044']
['20201', '4.291287339145489']
['3828', '4.263630903772306']
['13314', '4.0998111298119015']
['44865', '4.089112075224094']
['17587', '4.071403872374295']
['53523', '4.056580950354678']
['33203', '3.9199634965069006']
['25103', '3.9154089608725573']
['46736', '3.8609134780082544']
['51210', '3.8609134780082544']
['64626', '3.850271257670223']
['65364', '3.8311161084558956']
['49856', '3.8022984075089266']
['14713', '3.7769865128584756']
['56149', '3.517007750842116']
['3972', '3.4993994643202337']
['44237', '3.4934840372759117']
['26598', '3.4315588264661394']
['43392', '3.311777200096599']
['27892', '3.260778125180986']
['24515', '3.256405052142432']
['47551', '3.192195093791738']
['64657', '2.9374392672003085']
['24494', '2.6032639454735453']
['25824', '2.6032639454735453']
['26080', '2.5182522175856934']
['26582', '2.509641755951175']
['28657', '2.506904392532755']
['9726', '2.439088069406888']
['44758', '2.359830549992244']
['85438', '2.160933572181334']
['19033', '2.14782777927257']
['65036', '2.1224824519547387']
['37078', '2.1012634500568677']
['65446', '2.0999548111302473']
['53721', '2.0834956091785433']
['26113', '2.059701112380605']
['20705', '2.0156357638526217']
['16922', '2.009068817539215']
['29920', '2.007455268930275']
['64664', '1.9386112361881558']
['41594', '1.888382158671581']
['11083', '1.8309685524989152']
['3265', '1.8108587244689092']
['66107', '1.4891903028779723']
['39895', '1.4649324622238276']
['64645', '1.4414522403281669']
['42529', '1.4156674754154888']
['70668', '1.4076100691511468']
['39893', '1.4056100283145725']
['16390', '0.0']
['17609', '0.0']
['22961', '0.0']
['27966', '0.0']
['31141', '0.0']
['37688', '0.0']
['39939', '0.0']
['46832', '0.0']
['50641', '0.0']
['56040', '0.0']
['6635', '0.0']
['6735', '0.0']
['7937', '0.0']
