['58476', '14.26853770452074']
['78836', '13.472189078385414']
['26061', '13.333312910473822']
['57914', '12.886309994560303']
['73038', '12.480606191533065']
['76635', '12.03581014900907']
['12769', '11.606653142763403']
['12767', '11.31414855796154']
['25096', '10.262120575294041']
['82227', '10.257324166105345']
['24515', '10.178965535887219']
['4358', '9.518405685322268']
['26611', '8.843558851794786']
['65414', '8.700479874195846']
['33172', '8.34540935823301']
['29908', '8.18762985674703']
['28662', '8.128522545813325']
['86929', '7.76141628623795']
['86912', '7.759538116304101']
['11922', '7.205287183826629']
['14713', '6.952229947094422']
['9479', '6.930765062855617']
['70306', '6.870520717912504']
['10182', '6.730972535401375']
['3835', '6.572748903167229']
['65036', '6.478135239062031']
['65446', '6.365980556623796']
['32366', '6.361906912320129']
['7502', '6.348796139099079']
['26603', '6.281309655230469']
['9790', '6.2106010961481']
['64626', '5.963336473601063']
['65364', '5.924900977217206']
['61689', '5.868167818531422']
['11979', '5.851762063719249']
['64645', '5.762411403888747']
['17587', '5.622439989311206']
['53502', '5.557733057820514']
['3976', '5.550404861383006']
['20201', '5.421848264382184']
['11485', '5.354280056085274']
['16922', '5.32551940023016']
['4881', '5.313835752799918']
['9703', '5.27092640027329']
['29911', '5.245439515981739']
['24485', '5.231860379114546']
['11930', '5.224215604755376']
['17517', '5.218094914423381']
['29894', '5.14788349527025']
['8455', '5.119319604473802']
['25100', '5.087114890627372']
['25699', '5.083782062382536']
['11923', '5.067185014627693']
['6503', '4.88399001340253']
['11481', '4.724967380166188']
['30486', '4.640212249285171']
['13345', '4.629380876177463']
['6497', '4.554954351710432']
['14707', '4.541048370115126']
['35396', '4.530674477584904']
['27870', '4.513489585433968']
['38442', '4.503241083221633']
['24490', '4.446034182662103']
['21895', '4.426188981636433']
['27384', '4.393504430622081']
['64657', '4.228031611458196']
['4933', '4.088570706864026']
['33203', '4.000860383482958']
['3972', '3.149192643321043']
['29904', '3.057962754812212']
['85372', '3.0112040664350386']
['6735', '2.73300850118478']
['65394', '2.636083361814338']
['28657', '2.332845586601538']
['65306', '2.3085901640407123']
['68419', '2.3085901640407123']
['30456', '2.3039221366467317']
['75563', '2.3013282560220274']
['29920', '2.2987402094922484']
['53523', '2.2451966462220674']
['7115', '2.2427332423321125']
['3834', '2.2358791290932056']
['6636', '2.2329334469361073']
['15082', '2.2268519464036203']
['6498', '2.2099986441882624']
['13320', '2.205230168794859']
['15200', '2.2040412634805286']
['54745', '2.2021559853598784']
['3837', '2.151170195832139']
['4310', '2.1489086970746456']
['36447', '2.124342451198318']
['49815', '2.119936081744825']
['4439', '2.115547954078783']
['47516', '2.0768573364998986']
['77310', '2.0753685625385554']
['71368', '2.0705460712107473']
['3265', '2.0518403442702096']
['67280', '2.0415935862667016']
['33668', '1.987983146127134']
['29906', '1.9821997228085868']
['79021', '1.9707332427101718']
['13314', '1.946338669540661']
['5862', '1.8940378281727732']
['81494', '1.8835659555981872']
['73598', '1.878373322750321']
['76766', '1.8528337724105504']
['19033', '1.8361897749605611']
['41541', '1.81177699801537']
['81731', '1.7927092473590207']
['76690', '1.7755796825888681']
['3828', '1.7633260068279137']
['73762', '1.7393191396719574']
['39349', '1.7231900904461699']
['73706', '1.6793039085470773']
['12479', '1.6697017283175677']
['58755', '1.6669783844700015']
['66107', '1.658861395849099']
['4306', '1.6575162433852302']
['53469', '1.6561732706924894']
['46736', '1.6481609144569809']
['51210', '1.6481609144569809']
['16897', '1.6415429340217953']
['73614', '1.614318159553483']
['3833', '1.6092345511398443']
['8333', '1.6079686478080741']
['6534', '1.6016688887665893']
['4395', '1.5979126719461985']
['13342', '1.595418299942167']
['20766', '1.595418299942167']
['20688', '1.592931703324676']
['53682', '1.586748991437987']
['49884', '1.5830623481086123']
['13313', '1.5818372709530397']
['15077', '1.5781733896734458']
['73641', '1.5781733896734458']
['16899', '1.5721044929470007']
['70668', '1.5612972940813334']
['19601', '1.557727837852907']
['44163', '1.5471167284948804']
['19599', '1.5459466332953251']
['12812', '1.537805263182702']
['20127', '1.534342295231758']
['13335', '1.5297491931395284']
['7118', '1.5274629388786083']
['71001', '1.5049707177263287']
['3827', '1.4917905551604786']
['47551', '1.4852866679056285']
['20133', '1.4567074715402952']
['11083', '0.0']
['11960', '0.0']
['12825', '0.0']
['13332', '0.0']
['16390', '0.0']
['16575', '0.0']
['16954', '0.0']
['17609', '0.0']
['17619', '0.0']
['19615', '0.0']
['19634', '0.0']
['19781', '0.0']
['20156', '0.0']
['20160', '0.0']
['20199', '0.0']
['20705', '0.0']
['22690', '0.0']
['22751', '0.0']
['22858', '0.0']
['23377', '0.0']
['24550', '0.0']
['25103', '0.0']
['25205', '0.0']
['26080', '0.0']
['27386', '0.0']
['29314', '0.0']
['29913', '0.0']
['29935', '0.0']
['33188', '0.0']
['37078', '0.0']
['41594', '0.0']
['44758', '0.0']
['44865', '0.0']
['48805', '0.0']
['49856', '0.0']
['54762', '0.0']
['54780', '0.0']
['56829', '0.0']
['64664', '0.0']
['6635', '0.0']
['67861', '0.0']
['68909', '0.0']
['73320', '0.0']
['73746', '0.0']
['76675', '0.0']
['78982', '0.0']
['7937', '0.0']
['79759', '0.0']
['8327', '0.0']
['9358', '0.0']
['9726', '0.0']
