['19409', '9.5268404876761']
['64482', '9.248296799761777']
['53361', '8.832952774794407']
['19411', '8.686086677016023']
['19420', '8.4286966219261']
['19885', '7.8431154033625665']
['3148', '7.52013345179942']
['50614', '6.639789736223158']
['54538', '5.507328157990083']
['53269', '5.0037728514891455']
['39907', '4.6306389085608926']
['26648', '4.25848257606423']
['85997', '3.745386861517921']
['23361', '3.662367361621943']
['75429', '2.9184923341297204']
['6318', '2.9168397337140184']
['85411', '2.8970248915902785']
['83810', '2.2976559096691545']
['83868', '2.1913948928399702']
['19408', '1.903780467369399']
['83267', '1.7057910946376658']
['75435', '1.7044275787161745']
['75433', '1.6141113288536353']
['75431', '1.5864893804907412']
['78572', '1.5133026836828314']
['78574', '1.5100875059216003']
['78580', '1.5015801142550325']
['19417', '0.0']
['23349', '0.0']
['64772', '0.0']
['67327', '0.0']
['76403', '0.0']
['76408', '0.0']
['76411', '0.0']
['78577', '0.0']
['78582', '0.0']
['79548', '0.0']
['79552', '0.0']
['79565', '0.0']
['80280', '0.0']
['80282', '0.0']
['80283', '0.0']
['80285', '0.0']
['80290', '0.0']
['81462', '0.0']
['81465', '0.0']
['82162', '0.0']
['82188', '0.0']
['82191', '0.0']
['82908', '0.0']
['85535', '0.0']
