['81463', '12.692014975654324']
['14314', '11.650356533723748']
['27426', '9.704930687952094']
['27106', '9.00202768224906']
['26385', '8.453697542422308']
['59459', '8.3797354365146']
['54533', '8.112766229038677']
['83370', '7.967651049918469']
['14069', '7.906649734670967']
['20159', '7.794460777578015']
['26386', '7.475171962624895']
['79396', '7.356826815068597']
['26432', '7.14301251921847']
['80988', '5.4146313618097945']
['9272', '5.353006569364783']
['63966', '5.260922149480602']
['46874', '5.181973625372118']
['68724', '5.112247842660089']
['46863', '4.968244558444127']
['29311', '4.885671941447822']
['83883', '4.690339122636537']
['46864', '4.630312119400626']
['46865', '4.630312119400626']
['26258', '4.2460589052874']
['26642', '4.240885429421575']
['82912', '4.185446143894324']
['56704', '4.161899022509422']
['85889', '4.120752037133595']
['54540', '4.112136942395759']
['27537', '4.107554420490562']
['54609', '4.022165479264824']
['55692', '4.021765282577536']
['78569', '4.0019686198595']
['59022', '3.990518364478806']
['34793', '3.9872726698908934']
['77171', '3.979133444091721']
['22021', '3.9489161843192653']
['53387', '3.8550224879605355']
['71622', '3.7921335913536147']
['78586', '3.7614523709473606']
['31472', '3.6158162595074703']
['26644', '3.55234586822612']
['61141', '3.128628312243043']
['16391', '2.972889388014306']
['72468', '2.5845083736442707']
['75108', '2.504452710560267']
['66866', '2.4197249684270203']
['6062', '2.3734014108800197']
['84873', '2.207198707077304']
['42847', '1.144464145253817']
['9117', '1.0076403762362076']
['2738', '0.6419398373007552']
['19146', '0.0']
['21894', '0.0']
['21897', '0.0']
['24107', '0.0']
['29339', '0.0']
['31553', '0.0']
['37101', '0.0']
['39658', '0.0']
['43566', '0.0']
['49104', '0.0']
['70200', '0.0']
['72569', '0.0']
