['71102', '11.565255017903949']
['67204', '10.722763385777082']
['9544', '6.606754831493783']
['54844', '6.604061040398647']
['58507', '6.166276677786492']
['50076', '6.146774921565129']
['62586', '6.086588821825417']
['41231', '6.017588241585986']
['79525', '5.852647091442233']
['81694', '5.397048682856436']
['65692', '5.1570255481343725']
['37425', '5.072512571406257']
['48566', '4.963580527207718']
['35853', '4.775037091312096']
['79033', '3.5787604012069143']
['21113', '1.9673599608671681']
['24747', '0.0']
['24839', '0.0']
['42485', '0.0']
['5166', '0.0']
['73930', '0.0']
