['50020', '12.955368043526512']
['58137', '11.293487518872766']
['76605', '11.005088200361435']
['61647', '9.371560277412193']
['52066', '9.156004945495882']
['48443', '9.08786034050766']
['5671', '8.683090734602704']
['38068', '8.674489971702968']
['43604', '8.637674141280895']
['46714', '8.47655158573002']
['79396', '8.349382017718122']
['53345', '6.047122480815593']
['15606', '3.4860368459001836']
['44746', '3.485672646327305']
['77790', '3.455014913182856']
['75452', '3.4333840463405094']
['61561', '3.4220425737560825']
['81480', '3.409609818158307']
['35782', '3.3829907808628414']
['80477', '3.362284204269476']
['9611', '3.302457753299345']
['57152', '3.1865799311503964']
['62221', '3.127406597187965']
['29045', '3.1147484537045025']
['17078', '3.094431488881332']
['20316', '3.094431488881332']
['44554', '1.2636460109407464']
['62192', '1.2422873579507576']
['65206', '1.2298152587429758']
['79601', '1.2016652978413795']
['67715', '1.1977487305017076']
['70456', '1.1969684786863874']
['86068', '1.0707206748335352']
['11352', '0.0']
['11732', '0.0']
['14554', '0.0']
['19930', '0.0']
['21688', '0.0']
['22584', '0.0']
['28761', '0.0']
['3627', '0.0']
['39400', '0.0']
['4075', '0.0']
['58894', '0.0']
['6985', '0.0']
['8125', '0.0']
